ID_ELEVE,GENRE,AGE,NIVEAU,ID_PARENT
E00232,f,8,CM2,P3978
E00233,m,10,CM2,P0340
E00234,m,12,2nde,P0520
E00235,f,11,6ème,P4186
E00236,f,9,3ème,P4643
E00237,m,10,Terminale,P2912
E00238,f,14,5ème,P0792
E00239,m,14,4ème,P2075
E00240,m,9,CM1,P0779
E00241,f,12,3ème,P1991
E00242,f,10,2nde,P4629
E00243,m,8,Terminale,P3308
E00244,f,13,5ème,P3851
E00245,f,12,4ème,P2049
E00246,f,8,2nde,P3107
E00247,m,14,Terminale,P0294
E00248,m,11,2nde,P3973
E00249,m,13,2nde,P3777
E00250,f,12,1ère,P0198
E00251,f,10,5ème,P3667
E00252,m,8,5ème,P2959
E00253,m,10,1ère,P3931
E00254,m,8,3ème,P2870
E00255,f,15,CM2,P3276
E00256,f,10,CM2,P1044
E00257,m,9,2nde,P0712
E00258,m,13,6ème,P2124
E00259,m,9,6ème,P4587
E00260,m,14,4ème,P3577
E00261,m,11,Terminale,P4202
E00262,m,10,4ème,P2939
E00263,f,12,CM2,P2786
E00264,f,12,Terminale,P1088
E00265,f,10,CM2,P4006
E00266,m,8,2nde,P2889
E00267,m,9,CM1,P1126
E00268,m,10,6ème,P0722
E00269,m,14,2nde,P0382
E00270,f,9,5ème,P3124
E00271,m,13,4ème,P0646
E00272,f,14,CM1,P0568
E00273,m,10,CM2,P3161
E00274,m,8,4ème,P0476
E00275,m,9,4ème,P4445
E00276,f,9,6ème,P2289
E00277,m,9,3ème,P2683
E00278,m,13,Terminale,P1798
E00279,f,8,5ème,P0811
E00280,m,12,4ème,P4187
E00281,m,15,1ère,P1516
E00282,f,12,CM1,P0623
E00283,f,15,CM1,P3037
E00284,f,13,Terminale,P0362
E00285,f,11,CM2,P3351
E00286,f,10,4ème,P3294
E00287,m,10,5ème,P2327
E00288,m,12,CM1,P3509
E00289,m,12,2nde,P3550
E00290,f,11,5ème,P4146
E00291,f,10,3ème,P3297
E00292,m,11,6ème,P2020
E00293,m,8,2nde,P2937
E00294,f,11,2nde,P3203
E00295,f,11,3ème,P4669
E00296,m,15,2nde,P2550
E00297,f,12,1ère,P2572
E00298,m,8,4ème,P3239
E00299,m,13,Terminale,P2950
E00300,f,8,6ème,P2712
E00301,f,15,1ère,P0123
E00302,m,13,Terminale,P4664
E00303,m,8,CM2,P4240
E00304,m,11,3ème,P2781
E00305,m,15,4ème,P1830
E00306,m,14,2nde,P0858
E00307,m,9,5ème,P3896
E00308,m,10,5ème,P2658
E00309,m,9,4ème,P0175
E00310,f,12,2nde,P2854
E00311,m,13,CM1,P0616
E00312,m,15,3ème,P3727
E00313,f,13,3ème,P3458
E00314,f,13,CM2,P3991
E00315,m,11,1ère,P2620
E00316,f,9,Terminale,P2966
E00317,f,11,CM1,P0039
E00318,m,13,1ère,P2765
E00319,m,8,3ème,P2058
E00320,f,11,5ème,P0251
E00321,f,12,6ème,P0795
E00322,f,8,5ème,P3166
E00323,m,15,6ème,P1305
E00324,m,9,CM2,P4862
E00325,m,9,5ème,P0582
E00326,m,14,4ème,P2707
E00327,m,13,CM1,P4838
E00328,m,8,4ème,P0945
E00329,f,8,CM2,P1609
E00330,m,13,5ème,P3412
E00331,f,8,CM1,P4894
E00332,m,13,3ème,P1857
E00333,m,12,4ème,P2519
E00334,f,15,3ème,P2637
E00335,f,13,CM2,P2421
E00336,f,8,CM1,P4014
E00337,m,14,3ème,P3507
E00338,m,10,2nde,P3284
E00339,f,12,2nde,P4135
E00340,f,14,6ème,P4352
E00341,m,13,2nde,P3463
E00342,f,10,5ème,P4692
E00343,m,9,CM1,P0832
E00344,f,12,CM1,P3797
E00345,m,10,4ème,P1923
E00346,m,10,3ème,P0371
E00347,m,15,4ème,P1635
E00348,m,12,2nde,P3862
E00349,m,10,4ème,P3942
E00350,f,14,CM1,P3107
E00351,f,12,5ème,P2936
E00352,f,9,CM1,P2763
E00353,m,10,5ème,P0936
E00354,f,9,6ème,P4308
E00355,m,14,CM1,P3565
E00356,m,15,6ème,P3033
E00357,m,12,CM1,P4969
E00358,m,8,1ère,P2338
E00359,m,8,CM1,P0218
E00360,f,14,5ème,P3714
E00361,m,15,Terminale,P0622
E00362,f,15,CM2,P0298
E00363,m,9,4ème,P0203
E00364,f,15,CM1,P3571
E00365,m,8,4ème,P1506
E00366,m,8,4ème,P1513
E00367,f,9,3ème,P1910
E00368,m,14,1ère,P4274
E00369,m,12,1ère,P2024
E00370,m,10,1ère,P3660
E00371,f,13,6ème,P3576
E00372,m,14,3ème,P4792
E00373,m,11,Terminale,P4481
E00374,f,9,CM2,P3341
E00375,m,9,6ème,P1509
E00376,m,13,2nde,P3995
E00377,f,9,3ème,P4038
E00378,f,12,3ème,P0399
E00379,f,9,3ème,P0504
E00380,m,8,6ème,P1938
E00381,m,14,2nde,P0988
E00382,f,9,CM2,P0244
E00383,f,14,CM1,P2961
E00384,m,12,4ème,P1736
E00385,m,12,2nde,P4721
E00386,f,9,Terminale,P3285
E00387,f,15,6ème,P2413
E00388,m,14,3ème,P4280
E00389,f,14,CM1,P0133
E00390,f,13,3ème,P4909
E00391,f,14,1ère,P3041
E00392,f,12,Terminale,P0860
E00393,m,10,6ème,P1440
E00394,f,14,CM1,P0530
E00395,m,12,5ème,P2160
E00396,f,11,5ème,P0687
E00397,m,10,Terminale,P3527
E00398,f,10,CM1,P2661
E00399,m,13,CM1,P3795
E00400,m,14,3ème,P0453
E00401,f,9,Terminale,P2502
E00402,m,9,CM2,P1943
E00403,f,14,CM2,P2386
E00404,m,12,CM1,P0683
E00405,f,11,6ème,P2406
E00406,m,15,1ère,P0043
E00407,f,10,3ème,P0505
E00408,m,10,2nde,P0059
E00409,m,15,Terminale,P4762
E00410,m,15,CM2,P1812
E00411,m,11,3ème,P1555
E00412,f,13,Terminale,P1050
E00413,m,8,5ème,P0055
E00414,f,10,6ème,P2194
E00415,f,15,Terminale,P4212
E00416,m,14,1ère,P2246
E00417,f,9,CM1,P2950
E00418,m,12,6ème,P4441
E00419,f,10,Terminale,P4243
E00420,m,8,1ère,P1166
E00421,m,14,3ème,P0614
E00422,m,15,Terminale,P1990
E00423,m,9,Terminale,P4976
E00424,m,13,5ème,P4470
E00425,m,14,Terminale,P3301
E00426,m,13,2nde,P1154
E00427,m,12,6ème,P4610
E00428,f,8,CM2,P4780
E00429,f,13,6ème,P3465
E00430,m,14,1ère,P2511
E00431,m,13,3ème,P1323
E00432,m,10,5ème,P0992
E00433,m,9,4ème,P1972
E00434,m,10,6ème,P1685
E00435,m,11,6ème,P4460
E00436,m,8,3ème,P4554
E00437,m,10,1ère,P3104
E00438,m,8,4ème,P0256
E00439,m,9,CM1,P0859
E00440,m,10,1ère,P0059
E00441,f,14,CM2,P0057
E00442,f,10,5ème,P3702
E00443,m,8,2nde,P3042
E00444,m,13,CM1,P1424
E00445,m,8,1ère,P3989
E00446,m,14,4ème,P2125
E00447,m,8,2nde,P2074
E00448,m,11,6ème,P3687
E00449,m,13,1ère,P2838
E00450,m,10,4ème,P4350
E00451,m,14,CM2,P0209
E00452,m,9,Terminale,P0560
E00453,f,8,2nde,P2213
E00454,f,10,4ème,P0269
E00455,f,8,Terminale,P0236
E00456,f,9,4ème,P1763
E00457,f,10,Terminale,P0142
E00458,m,11,5ème,P1801
E00459,f,15,2nde,P4545
E00460,f,10,6ème,P4008
E00461,f,15,6ème,P2609
E00462,f,8,2nde,P4437
E00463,m,15,4ème,P4804
E00464,m,13,4ème,P4552
E00465,f,15,2nde,P3641
E00466,f,8,6ème,P1146
E00467,m,10,2nde,P2313
E00468,f,10,3ème,P4763
E00469,m,13,CM1,P0616
E00470,f,15,CM2,P2707
E00471,f,13,CM1,P1777
E00472,f,13,6ème,P4442
E00473,f,12,3ème,P0795
E00474,f,15,4ème,P2457
E00475,f,10,3ème,P2497
E00476,m,11,CM2,P1518
E00477,m,14,2nde,P0786
E00478,m,13,3ème,P4489
E00479,f,13,3ème,P4467
E00480,f,8,6ème,P2897
E00481,f,9,2nde,P2467
E00482,m,10,3ème,P1911
E00483,f,9,5ème,P1724
E00484,m,11,CM1,P2020
E00485,m,11,3ème,P4215
E00486,m,13,2nde,P1688
E00487,f,9,1ère,P4064
E00488,m,12,6ème,P0825
E00489,m,15,3ème,P3693
E00490,f,11,CM2,P0036
E00491,f,12,4ème,P1159
E00492,f,12,1ère,P0312
E00493,f,9,4ème,P4404
E00494,m,15,5ème,P2122
E00495,f,12,CM2,P1573
E00496,m,9,Terminale,P4312
E00497,m,8,2nde,P2823
E00498,m,13,CM2,P2911
E00499,m,8,5ème,P4726
E00500,m,9,2nde,P3718
E00501,m,13,2nde,P2751
E00502,f,13,5ème,P0062
E00503,f,12,1ère,P0471
E00504,m,13,1ère,P1194
E00505,m,13,3ème,P4298
E00506,m,15,4ème,P4058
E00507,f,13,CM1,P2170
E00508,m,10,Terminale,P0530
E00509,f,8,4ème,P4865
E00510,f,12,5ème,P1134
E00511,m,14,5ème,P2562
E00512,f,11,2nde,P4410
E00513,f,10,CM2,P2996
E00514,m,12,CM2,P1736
E00515,m,15,Terminale,P4298
E00516,m,12,CM2,P4562
E00517,m,9,3ème,P4108
E00518,f,9,6ème,P1225
E00519,m,12,5ème,P3033
E00520,f,11,Terminale,P1008
E00521,m,9,2nde,P0422
E00522,f,10,1ère,P2763
E00523,m,9,6ème,P2669
E00524,f,13,2nde,P1399
E00525,m,15,6ème,P3613
E00526,f,11,2nde,P3227
E00527,m,13,5ème,P0895
E00528,f,12,4ème,P2260
E00529,f,14,2nde,P2627
E00530,f,15,6ème,P4829
E00531,m,9,5ème,P0277
E00532,f,10,3ème,P3724
E00533,f,15,Terminale,P2490
E00534,f,8,CM2,P0053
E00535,f,8,CM1,P0749
E00536,m,13,2nde,P1175
E00537,f,8,Terminale,P1164
E00538,f,8,5ème,P1073
E00539,m,8,1ère,P1691
E00540,f,8,3ème,P0849
E00541,m,13,Terminale,P3335
E00542,m,9,CM1,P3787
E00543,f,15,CM1,P2752
E00544,m,12,4ème,P4891
E00545,m,9,3ème,P4924
E00546,f,8,2nde,P3960
E00547,m,9,CM1,P1079
E00548,m,9,Terminale,P3527
E00549,m,15,1ère,P4410
E00550,f,14,CM2,P3264
E00551,f,12,CM2,P1331
E00552,m,15,4ème,P0893
E00553,m,9,CM1,P2549
E00554,f,13,1ère,P4206
E00555,f,14,5ème,P0352
E00556,m,15,CM1,P3607
E00557,m,15,CM1,P3051
E00558,m,15,CM1,P4406
E00559,m,8,2nde,P0562
E00560,m,8,3ème,P2368
E00561,f,9,1ère,P2166
E00562,m,14,3ème,P0988
E00563,f,13,5ème,P0230
E00564,m,15,CM2,P0247
E00565,m,11,CM2,P3340
E00566,m,9,1ère,P3647
E00567,m,12,2nde,P0848
E00568,m,14,CM1,P3583
E00569,m,13,6ème,P4951
E00570,m,14,6ème,P2175
E00571,m,9,CM2,P4642
E00572,m,10,4ème,P0075
E00573,f,10,CM2,P3320
E00574,m,11,1ère,P2503
E00575,f,9,CM2,P1359
E00576,m,10,6ème,P1303
E00577,m,11,2nde,P2650
E00578,f,9,5ème,P2449
E00579,f,13,CM2,P3141
E00580,f,10,CM1,P3148
E00581,f,9,Terminale,P0883
E00582,m,15,CM1,P1644
E00583,m,13,CM2,P2802
E00584,f,14,2nde,P0359
E00585,m,12,CM2,P2415
E00586,f,9,Terminale,P2087
E00587,f,11,2nde,P4037
E00588,m,14,CM1,P1994
E00589,m,11,4ème,P1371
E00590,m,15,3ème,P2259
E00591,f,14,Terminale,P3144
E00592,m,9,1ère,P2830
E00593,f,14,1ère,P2663
E00594,m,12,1ère,P3190
E00595,f,10,6ème,P0706
E00596,m,10,1ère,P1818
E00597,m,12,Terminale,P0917
E00598,f,14,2nde,P0717
E00599,m,9,4ème,P2340
E00600,m,9,4ème,P1206
E00601,m,10,CM1,P0298
E00602,m,10,Terminale,P2799
E00603,f,13,2nde,P0512
E00604,m,10,CM1,P1528
E00605,f,9,4ème,P3144
E00606,f,8,Terminale,P4575
E00607,m,14,3ème,P2525
E00608,f,11,4ème,P0122
E00609,f,12,CM2,P1030
E00610,m,13,Terminale,P3160
E00611,f,12,Terminale,P4420
E00612,f,13,6ème,P4379
E00613,m,12,4ème,P4950
E00614,m,14,2nde,P0784
E00615,m,9,3ème,P0558
E00616,f,13,2nde,P1065
E00617,m,15,1ère,P3629
E00618,m,13,4ème,P2369
E00619,f,14,1ère,P0121
E00620,f,11,CM2,P4589
E00621,f,11,2nde,P1472
E00622,m,8,Terminale,P1364
E00623,f,11,1ère,P2789
E00624,f,8,Terminale,P4769
E00625,f,13,2nde,P0639
E00626,f,13,4ème,P4660
E00627,m,9,2nde,P1697
E00628,m,14,CM2,P4789
E00629,m,8,Terminale,P1886
E00630,f,15,Terminale,P1552
E00631,m,15,CM1,P2703
E00632,f,8,2nde,P3942
E00633,f,12,3ème,P3196
E00634,m,14,CM1,P2917
E00635,f,15,3ème,P2540
E00636,m,9,6ème,P0847
E00637,m,13,3ème,P2686
E00638,m,11,6ème,P2794
E00639,f,12,5ème,P0466
E00640,m,14,CM2,P4232
E00641,m,12,3ème,P2054
E00642,m,9,3ème,P1520
E00643,m,8,5ème,P2308
E00644,f,8,5ème,P1233
E00645,m,8,Terminale,P0025
E00646,m,13,4ème,P0049
E00647,f,9,CM1,P0992
E00648,m,15,CM1,P1211
E00649,m,14,CM2,P3612
E00650,m,13,CM1,P0673
E00651,f,9,CM2,P2211
E00652,m,11,3ème,P0518
E00653,m,10,3ème,P3356
E00654,m,13,5ème,P1288
E00655,f,12,6ème,P3572
E00656,m,15,Terminale,P2991
E00657,m,8,3ème,P0520
E00658,f,12,2nde,P1130
E00659,m,14,4ème,P0817
E00660,f,12,4ème,P1333
E00661,f,10,Terminale,P2546
E00662,f,11,CM2,P2204
E00663,f,14,5ème,P4324
E00664,m,8,4ème,P4183
E00665,m,15,6ème,P0240
E00666,f,13,3ème,P2750
E00667,m,11,1ère,P2371
E00668,f,12,6ème,P4638
E00669,f,8,1ère,P4530
E00670,m,12,Terminale,P4341
E00671,f,10,6ème,P0448
E00672,m,13,3ème,P1785
E00673,m,8,1ère,P3107
E00674,f,8,Terminale,P0796
E00675,m,14,1ère,P4585
E00676,f,15,3ème,P0767
E00677,f,11,CM2,P2608
E00678,f,8,CM2,P3891
E00679,m,15,2nde,P0869
E00680,f,8,1ère,P4029
E00681,f,10,3ème,P3292
E00682,f,12,5ème,P4040
E00683,f,13,Terminale,P4918
E00684,f,14,CM2,P1572
E00685,f,9,1ère,P1254
E00686,f,13,CM1,P4091
E00687,m,15,6ème,P0811
E00688,m,8,2nde,P4372
E00689,m,9,CM2,P4498
E00690,m,14,CM1,P3141
E00691,m,10,Terminale,P2982
E00692,f,13,Terminale,P2610
E00693,m,15,1ère,P1060
E00694,m,9,1ère,P2725
E00695,f,15,1ère,P0886
E00696,f,10,Terminale,P0128
E00697,f,10,CM1,P1400
E00698,f,11,5ème,P0985
E00699,f,14,6ème,P1043
E00700,m,11,6ème,P4602
E00701,f,9,CM2,P1629
E00702,f,14,Terminale,P4644
E00703,f,8,3ème,P3205
E00704,f,12,6ème,P0691
E00705,f,12,1ère,P4879
E00706,m,12,1ère,P2265
E00707,f,10,6ème,P4640
E00708,m,10,6ème,P0324
E00709,m,15,CM1,P4497
E00710,m,14,CM1,P3089
E00711,m,12,5ème,P4806
E00712,m,14,6ème,P4677
E00713,m,9,5ème,P2427
E00714,f,15,1ère,P3083
E00715,f,15,CM1,P2630
E00716,m,9,4ème,P4928
E00717,m,12,6ème,P4163
E00718,f,9,1ère,P2305
E00719,f,13,2nde,P3269
E00720,m,12,2nde,P0298
E00721,m,15,3ème,P0202
E00722,f,13,CM2,P2526
E00723,m,8,CM1,P3115
E00724,m,11,Terminale,P0020
E00725,m,12,Terminale,P3791
E00726,m,10,1ère,P2954
E00727,f,13,1ère,P4699
E00728,f,13,2nde,P3714
E00729,f,12,1ère,P2718
E00730,f,11,4ème,P2680
E00731,f,9,CM1,P2930
E00732,f,10,4ème,P3082
E00733,f,12,1ère,P0077
E00734,f,9,CM1,P1630
E00735,m,9,Terminale,P4612
E00736,f,14,CM1,P4300
E00737,f,15,CM1,P2516
E00738,f,15,6ème,P0438
E00739,f,10,2nde,P3721
E00740,m,8,6ème,P3044
E00741,f,10,1ère,P0025
E00742,f,15,5ème,P4451
E00743,m,11,3ème,P4478
E00744,m,12,5ème,P0025
E00745,f,15,4ème,P2083
E00746,m,14,CM1,P0793
E00747,m,11,CM1,P1318
E00748,m,13,4ème,P0469
E00749,f,8,3ème,P2286
E00750,f,14,Terminale,P0855
E00751,m,13,4ème,P0343
E00752,m,12,6ème,P2571
E00753,f,15,CM2,P0209
E00754,m,15,2nde,P2937
E00755,f,14,1ère,P0484
E00756,m,15,4ème,P3408
E00757,m,15,CM2,P4218
E00758,m,9,5ème,P2949
E00759,m,15,4ème,P4889
E00760,f,12,5ème,P1798
E00761,m,14,CM2,P2336
E00762,m,13,CM2,P2994
E00763,m,10,CM1,P4824
E00764,m,13,2nde,P3055
E00765,f,14,Terminale,P3212
E00766,m,15,1ère,P4474
E00767,m,12,CM2,P0749
E00768,f,15,4ème,P4125
E00769,f,9,1ère,P3952
E00770,m,13,CM1,P4762
E00771,f,9,6ème,P1476
E00772,f,10,1ère,P1290
E00773,m,14,CM1,P1095
E00774,m,14,4ème,P3873
E00775,f,8,5ème,P1193
E00776,f,9,1ère,P3570
E00777,f,8,5ème,P0694
E00778,m,12,CM2,P3833
E00779,f,9,CM1,P1235
E00780,f,15,CM2,P4533
E00781,f,13,Terminale,P2512
E00782,f,8,5ème,P1519
E00783,f,12,6ème,P3469
E00784,m,10,2nde,P3848
E00785,m,10,1ère,P0003
E00786,f,12,CM1,P2227
E00787,f,15,5ème,P2890
E00788,f,14,1ère,P4976
E00789,m,11,1ère,P3343
E00790,m,11,CM1,P3615
E00791,f,8,6ème,P0683
E00792,m,15,4ème,P3488
E00793,f,10,CM2,P0750
E00794,m,12,1ère,P4055
E00795,f,11,1ère,P2075
E00796,f,13,2nde,P1680
E00797,f,9,2nde,P1045
E00798,m,14,2nde,P0087
E00799,m,15,CM2,P3876
E00800,f,12,3ème,P2729
E00801,f,15,6ème,P4412
E00802,m,10,CM1,P2877
E00803,m,10,3ème,P2383
E00804,f,10,1ère,P0352
E00805,m,15,6ème,P3012
E00806,m,13,3ème,P4284
E00807,f,11,CM1,P3083
E00808,f,13,4ème,P2342
E00809,f,12,2nde,P1129
E00810,f,10,CM2,P1297
E00811,m,14,1ère,P0138
E00812,f,8,3ème,P0419
E00813,f,9,1ère,P2913
E00814,f,12,2nde,P3547
E00815,m,12,4ème,P4758
E00816,f,11,Terminale,P3668
E00817,m,13,1ère,P2995
E00818,f,12,4ème,P4116
E00819,m,14,5ème,P0005
E00820,m,13,5ème,P0718
E00821,m,10,3ème,P1319
E00822,m,9,5ème,P1977
E00823,m,13,5ème,P0916
E00824,f,15,4ème,P1781
E00825,f,14,6ème,P0368
E00826,m,11,3ème,P1800
E00827,m,8,4ème,P3202
E00828,m,13,CM2,P3141
E00829,m,12,2nde,P3308
E00830,m,9,5ème,P1028
E00831,m,10,6ème,P2707
E00832,m,13,Terminale,P4297
E00833,m,9,3ème,P0114
E00834,f,9,5ème,P2504
E00835,m,13,Terminale,P1091
E00836,f,10,CM1,P4712
E00837,m,9,CM2,P4399
E00838,f,8,6ème,P4304
E00839,f,15,4ème,P1417
E00840,f,14,4ème,P3713
E00841,f,8,4ème,P3441
E00842,m,9,CM2,P3738
E00843,f,8,4ème,P3611
E00844,f,13,Terminale,P1851
E00845,f,8,Terminale,P4326
E00846,m,10,CM2,P1737
E00847,f,11,CM1,P3824
E00848,m,8,3ème,P4601
E00849,f,8,CM2,P2615
E00850,f,11,3ème,P4448
E00851,f,10,CM1,P0637
E00852,m,14,2nde,P4801
E00853,f,9,CM1,P4583
E00854,m,13,4ème,P3212
E00855,m,10,Terminale,P2811
E00856,m,12,Terminale,P3530
E00857,f,15,CM2,P2820
E00858,f,13,3ème,P1251
E00859,f,8,2nde,P1181
E00860,m,9,3ème,P1317
E00861,f,11,CM1,P3387
E00862,m,10,5ème,P1561
E00863,f,12,3ème,P4059
E00864,f,8,CM2,P4158
E00865,m,8,5ème,P2932
